CNPJ_CIA;DENOM_SOCIAL;DENOM_COMERC;DT_REG;DT_CONST;DT_CANCEL;MOTIVO_CANCEL;SIT;DT_INI_SIT;CD_CVM;SETOR_ATIV;TP_MERC;CATEG_REG;DT_INI_CATEG;SIT_EMISSOR;DT_INI_SIT_EMISSOR;CONTROLE_ACIONARIO;TP_ENDER;LOGRADOURO;COMPL;BAIRRO;MUN;UF;PAIS;CEP;DDD_TEL;TEL;DDD_FAX;FAX;EMAIL;TP_RESP;RESP;DT_INI_RESP;LOGRADOURO_RESP;COMPL_RESP;BAIRRO_RESP;MUN_RESP;UF_RESP;PAIS_RESP;CEP_RESP;DDD_TEL_RESP;TEL_RESP;DDD_FAX_RESP;FAX_RESP;EMAIL_RESP;CNPJ_AUDITOR;AUDITOR
01.547.749/0001-16;521 PARTICIPAÇOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL;521 PARTICIPAÇÕES S/A;1997-07-11;1996-07-30;;;ATIVO;1997-07-11;16330;Emp. Adm. Part. - Energia Elétrica;;Categoria B;2011-04-28;LIQUIDAÇÃO EXTRAJUDICIAL;2015-04-30;PRIVADO;SEDE;Av. Ayrton Senna;3000 - sala 4098;Barra da Tijuca;RIO DE JANEIRO;RJ;BRASIL;22775003;21;25560809;21;25560809;eximia@eximiacapital.com;;;;;;;;;;;;;;;;02.878.522/0001-16;IRKO HIRASHIMA AUDITORES INDEPENDENTES LTDA.
01.851.771/0001-55;524 PARTICIPAÇOES SA;524 PARTICIPACOES SA;1997-05-30;1997-04-02;;;ATIVO;1997-05-30;16284;Emp. Adm. Part. - Sem Setor Principal;BOLSA;Categoria A;2010-01-01;FASE OPERACIONAL;1997-05-30;PRIVADO;SEDE;Av. Presidente Antônio Carlos, nº 51;10º andar (pte);Centro;RIO DE JANEIRO;RJ;BRASIL;20020010;21;38043700;21;38043480;gar@opportunity.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Maria Amalia Delfim de Melo Coutrim;2026-05-06;Av. Presidente Antônio Carlos;51;Centro;RIO DE JANEIRO;RJ;;20020010;21;38043700;;;gar@opportunity.com.br;10.830.108/0001-65;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.
07.636.657/0001-99;ACO VERDE DO BRASIL S.A;AÃO VERDE DO BRASIL S.A;2021-11-29;1985-05-07;;;ATIVO;2021-11-29;26425;Metalurgia e Siderurgia;BALCÃO ORGANIZADO;Categoria B;2021-11-29;FASE OPERACIONAL;2021-08-17;PRIVADO;SEDE;Rodovia BR 222, Km 14,5;Gleba Itinga,Lote 71;Distrito de Pequiá;AÇAILÂNDIA;MA;BRASIL;65930000;99;5355122;99;5355139;ri@ferroeste.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Gustavo Rozenbaum Bcheche;2021-08-09;Avenida do Contorno 3800;19º andar;Santa Efigênia;BELO HORIZONTE;MG;;30110022;31;32282500;;;ri@ferroeste.com.br;61.562.112/0001-20;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.
08.827.501/0001-58;AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.;AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.;2014-05-21;2007-03-26;;;ATIVO;2014-05-21;23396;Saneamento, Serv. Água e Gás;BALCÃO ORGANIZADO;Categoria A;2026-02-25;FASE OPERACIONAL;2014-03-11;PRIVADO HOLDING;SEDE;Avenida Brigadeiro Faria Lima, n° 1663;1 andar, sl01;Jardim Paulistano;SÃO PAULO;SP;BRASIL;1452001;11;38188150;11;38188166;dri@aegea.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;André Pires de Oliveira Dias;2020-10-06;Avenida Brigadeiro Faria Lima, n° 1663;1 andar, sl 01;Jardim Paulistano;SÃO PAULO;SP;;1452001;11;38188150;;;dri@aegea.com.br;57.755.217/0001-29;KPMG AUDITORES INDEPENDENTES LTDA.
12.528.708/0001-07;AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.;;2020-11-09;2020-08-17;;;ATIVO;2020-11-09;25283;Máquinas, Equipamentos, Veículos e Peças;BALCÃO ORGANIZADO;Categoria A;2020-11-09;FASE OPERACIONAL;2010-08-17;PRIVADO;SEDE;Rodovia CE-155;km. 2;CIPP;CAUCAIA;CE;BRASIL;61642000;85;34572200;85;34572200;ri@aerisenergy.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Alexandre Sarnes Negrão;2026-03-27;Rodovia CE-155, KM 2;CIPP;Caucaia;CAUCAIA;;;61642000;85;33045858;;;ri@aerisenergy.com.br;54.276.936/0001-79;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA
12.528.708/0001-07;AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.;;2020-11-09;2020-08-17;;;ATIVO;2020-11-09;25283;Máquinas, Equipamentos, Veículos e Peças;BOLSA;Categoria A;2020-11-09;FASE OPERACIONAL;2010-08-17;PRIVADO;SEDE;Rodovia CE-155;km. 2;CIPP;CAUCAIA;CE;BRASIL;61642000;85;34572200;85;34572200;ri@aerisenergy.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Alexandre Sarnes Negrão;2026-03-27;Rodovia CE-155, KM 2;CIPP;Caucaia;CAUCAIA;;;61642000;85;33045858;;;ri@aerisenergy.com.br;54.276.936/0001-79;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA
10.338.320/0001-00;AFLUENTE TRANSMISSÃO DE ENERGIA ELETRICA S/A;AFLUENTE TRANSMISSÃO DE ENERGIA ELETRICA S/A;2010-09-24;2008-08-18;;;ATIVO;2010-09-24;22179;Energia Elétrica;BOLSA;Categoria A;2010-09-24;FASE OPERACIONAL;2010-09-24;PRIVADO HOLDING;SEDE;Praia do Flamengo, 78;10º andar;Flamengo;RIO DE JANEIRO;RJ;BRASIL;22210904;21;32359824;21;32359876;ri@neoenergia.com;DIRETOR DE RELAÇÕES COM INVESTIDORES;Renato de Almeida Rocha;2022-04-26;Praia do Flamengo, 78;10º andar;Flamengo;RIO DE JANEIRO;RJ;;22210030;21;32359828;;;ri@neoenergia.com;49.928.567/0001-11;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.
21.240.146/0001-84;AGROGALAXY PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL;AGROGALAXY PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL;2021-03-19;2014-10-02;;;ATIVO;2021-03-19;25658;Comércio (Atacado e Varejo);BOLSA;Categoria A;2021-03-19;EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE;2024-09-18;PRIVADO;SEDE;Rua T-37, esquina com a T-12, nº 35, salas nº 2301 a 2311;23 andar Anexo B;Setor Bueno;GOIÂNIA;GO;BRASIL;74230025;11;30147580;;;ri@agrogalaxy.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Luiz Gabriel Piovezani Silva;2026-02-05;Rua T-37, esquina com a T-12, nº 35, salas nº 2301 a 2311;23 andar;Anexo B, Setor Bueno;GOIÁS;;;74230025;63;37730700;;;ri@agrogalaxy.com.br;54.276.936/0001-79;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA
27.157.474/0001-06;ÁGUAS DE TERESINA SANEAMENTO SPE S.A.;ÁGUAS DE TERESINA SANEAMENTO SPE S.A.;2021-02-25;2017-02-21;;;ATIVO;2021-02-25;25615;Saneamento, Serv. Água e Gás;BALCÃO ORGANIZADO;Categoria B;2021-02-25;FASE OPERACIONAL;2020-10-13;PRIVADO;SEDE;Avenida Professor Camilo Filho, n° 1.960;;Todos os Santos;TERESINA;PI;BRASIL;64089040;86;33018000;86;33018000;dri@aegea.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;André Pires de Oliveira Dias;2020-11-09;Avenida Brigadeiro Faria Lima, nº 1.663, 1º andar, sala 1;;Jardim Paulistano;SÃO PAULO;SP;;1452001;11;38188150;;;dri@aegea.com.br;57.755.217/0001-29;KPMG AUDITORES INDEPENDENTES LTDA.
61.067.901/0001-95;ÁGUAS DO PARÁ A SPE S.A;ÁGUAS DO PARÁ A SPE S.A;2026-01-15;2025-05-19;;;ATIVO;2026-01-15;27979;Saneamento, Serv. Água e Gás;BALCÃO ORGANIZADO;Categoria B;2025-10-02;FASE OPERACIONAL;2025-10-02;PRIVADO;SEDE;Rua Almirante Barroso, nº 425;;Marco;BELÉM;PA;BRASIL;66093020;19;34598300;;;dri@aegea.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;André Pires de Oliveira Dias;2025-08-27;Avenida Brigadeiro Faria Lima, nº 1.663;1º andar, sala 1;Jardim Paulistano;SÃO PAULO;SP;;1452001;11;38188150;;;dri@aegea.com.br;57.755.217/0001-29;KPMG AUDITORES INDEPENDENTES LTDA.
