CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
00.000.000/0001-91;2026-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2025-12-31;1;Ativo Total;2455143253.0000000000;S
00.000.000/0001-91;2026-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2026-03-31;1;Ativo Total;2610200817.0000000000;S
00.000.000/0001-91;2026-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2025-12-31;1.01;Caixa e Equivalentes de Caixa;59635525.0000000000;S
00.000.000/0001-91;2026-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2026-03-31;1.01;Caixa e Equivalentes de Caixa;61693113.0000000000;S
00.000.000/0001-91;2026-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2025-12-31;1.01.01;Caixa;19737849.0000000000;S
00.000.000/0001-91;2026-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2026-03-31;1.01.01;Caixa;23946939.0000000000;S
00.000.000/0001-91;2026-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2025-12-31;1.01.02;Aplicações de Liquidez;39897676.0000000000;S
00.000.000/0001-91;2026-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2026-03-31;1.01.02;Aplicações de Liquidez;37746174.0000000000;S
00.000.000/0001-91;2026-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2025-12-31;1.02;Ativos Financeiros;2201148106.0000000000;S
00.000.000/0001-91;2026-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2026-03-31;1.02;Ativos Financeiros;2342170996.0000000000;S
00.000.000/0001-91;2026-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2025-12-31;1.02.01;Depósito Compulsório Banco Central;120016133.0000000000;S
00.000.000/0001-91;2026-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2026-03-31;1.02.01;Depósito Compulsório Banco Central;117584592.0000000000;S
00.000.000/0001-91;2026-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2025-12-31;1.02.02;Ativos Financeiros Avaliados ao Valor Justo através do Resultado;12277786.0000000000;S
00.000.000/0001-91;2026-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2026-03-31;1.02.02;Ativos Financeiros Avaliados ao Valor Justo através do Resultado;15801373.0000000000;S
00.000.000/0001-91;2026-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2025-12-31;1.02.02.01;Títulos e Valores Mobiliários;7620302.0000000000;S
00.000.000/0001-91;2026-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2026-03-31;1.02.02.01;Títulos e Valores Mobiliários;9440412.0000000000;S
