CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
00.000.000/0001-91;2026-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2025-01-01;2025-03-31;6.01;Caixa Líquido das Atividades Operacionais;48378804.0000000000;S
00.000.000/0001-91;2026-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2026-01-01;2026-03-31;6.01;Caixa Líquido das Atividades Operacionais;20730952.0000000000;S
00.000.000/0001-91;2026-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2025-01-01;2025-03-31;6.01.01;Caixa Gerado pelas Operações;23564681.0000000000;S
00.000.000/0001-91;2026-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2026-01-01;2026-03-31;6.01.01;Caixa Gerado pelas Operações;20978325.0000000000;S
00.000.000/0001-91;2026-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2025-01-01;2025-03-31;6.01.01.01;Lucro ou Prejuízo Líquido antes dos Tributos sobre o Lucro;4177854.0000000000;S
00.000.000/0001-91;2026-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2026-01-01;2026-03-31;6.01.01.01;Lucro ou Prejuízo Líquido antes dos Tributos sobre o Lucro;3106277.0000000000;S
00.000.000/0001-91;2026-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2025-01-01;2025-03-31;6.01.01.02;Ajustes ao Lucro ou Prejuízo;19386827.0000000000;S
00.000.000/0001-91;2026-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2026-01-01;2026-03-31;6.01.01.02;Ajustes ao Lucro ou Prejuízo;17872048.0000000000;S
00.000.000/0001-91;2026-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2025-01-01;2025-03-31;6.01.02;Variações nos Ativos e Passivos;24814123.0000000000;S
00.000.000/0001-91;2026-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2026-01-01;2026-03-31;6.01.02;Variações nos Ativos e Passivos;-247373.0000000000;S
00.000.000/0001-91;2026-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2025-01-01;2025-03-31;6.01.02.01;Variação líquida em depósitos no Banco Central do Brasil;1182272.0000000000;N
00.000.000/0001-91;2026-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2026-01-01;2026-03-31;6.01.02.01;Variação líquida em depósitos no Banco Central do Brasil;2431540.0000000000;N
